SKU,Name,Meta: _wc_gla_synced_at,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
KIT6040,Thule Evo Flush Rail Kit (Kit 6040),1671721624,BRAND,Thule,1,1
KIT6044,Thule Evo Flush Rail Kit (Kit 6044),1671721624,BRAND,Thule,1,1
KIT6045,Thule Evo Flush Rail Kit (Kit 6045),1671721624,BRAND,Thule,1,1
KIT6049,Thule Evo Flush Rail Kit (Kit 6049),1671721624,BRAND,Thule,1,1
KIT6050,Thule Evo Flush Rail Kit (Kit 6050),1671721624,BRAND,Thule,1,1
KIT6052,Thule Evo Flush Rail Kit (Kit 6052),1671721624,BRAND,Thule,1,1
KIT6056,Thule Evo Flush Rail Kit (Kit 6056),1671721624,BRAND,Thule,1,1
KIT6060,Thule Evo Flush Rail Kit (Kit 6060),1671721660,BRAND,Thule,1,1
KIT6070,Thule Evo Flush Rail Kit (Kit 6070),1671721660,BRAND,Thule,1,1
KIT6075,Thule Evo Flush Rail Kit (Kit 6075),1671721660,BRAND,Thule,1,1
KIT6076,Thule Evo Flush Rail Kit (Kit 6076),1671721660,BRAND,Thule,1,1
KIT6078,Thule Evo Flush Rail Kit (Kit 6078),1671721660,BRAND,Thule,1,1
KIT6096,Thule Evo Flush Rail Kit (Kit 6096),1671721660,BRAND,Thule,1,1
958400,Thule Wingbar Edge Roof Bar (958400),1671721660,BRAND,Thule,1,1
958500,Thule Wingbar Edge Roof Bar (958500),1671721660,BRAND,Thule,1,1
711100,Thule Wingbar Evo 108cm Aluminium Roof Bar (711100),1671721660,BRAND,Thule,1,1
711120,Thule Black Wingbar Evo Roof Bar 108cm (711120),1671721660,BRAND,Thule,1,1
711200,Thule Wingbar Evo Roof Bar 118cm Aluminium (711200),1671721660,BRAND,Thule,1,1
711220,Thule Roof Bar Black Wingbar Evo 118cm (711220),1671721660,BRAND,Thule,1,1
711300,Thule Wingbar Evo 127cm Aluminium Roof Bar (711300),1671721660,BRAND,Thule,1,1
711320,Thule Black Wingbar Evo Roof Bar 127cm (711320),1671721660,BRAND,Thule,1,1
711400,Thule Wingbar Evo 135cm Aluminium Roof Bar (711400),1671721660,BRAND,Thule,1,1
711420,Thule Black Wingbar Evo Roof Bar 135cm (711420),1671721660,BRAND,Thule,1,1
712100,Thule Roof Bars X2 Was 760 (712100),1671721660,BRAND,Thule,1,1
712200,Thule Roof Bars X2 Was 761 (712200),1671721660,BRAND,Thule,1,1
712300,Thule Roof Bars X2 Was 769 (712300),1671721660,BRAND,Thule,1,1
712400,Thule Roof Bars X2 Was 762 (712400),1671721660,BRAND,Thule,1,1
712500,Thule Roof Bars X2 Was 763 (712500),1671721660,BRAND,Thule,1,1
629201,Thule Motion XT M Black Roof Box (629201),1671721660,BRAND,Thule,1,1
635200,Thule Force XT Medium Roof Box (635200),1671721660,BRAND,Thule,1,1
689202,Thule Ocean 100 Roof Box in Black (689202),1671721660,BRAND,Thule,1,1
692204,Thule Ocean 600 Black Roof Box (692204),1671721660,BRAND,Thule,1,1
520100,Thule Kayak Support (520100),1671721660,BRAND,Thule,1,1
52102,Thule 1 X Wingbar Cover Strip (52102),1671721660,BRAND,Thule,1,1
52622,Thule Spare Screws X4 (52622),1671721660,BRAND,Thule,1,1
450400,THULE LOCK SET x4 (450400),1671721660,BRAND,Thule,1,1
450800,Thule Lock Set x8 (450800),1671721660,BRAND,Thule,1,1
451200,THULE LOCK SET x12 (451200),1671721660,BRAND,Thule,1,1
TH841000,Thule Lockable Straps X2 (TH841000),1671721660,BRAND,Thule,1,1
TH8891,Thule T-Track Set 30x24mm (TH8891),1671721660,BRAND,Thule,1,1
TH957,Thule Towbar Lock (TH957),1671721660,BRAND,Thule,1,1
TH9906,Thule Adaptor 7 To 13 Pin (TH9906),1671721660,BRAND,Thule,1,1
TH9907,Thule Adaptor 13 To 7 Pin (TH9907),1671721660,BRAND,Thule,1,1
1500052992,Thule Wingbar Smart Scale 5-36mm (1500052992),1671721660,BRAND,Thule,1,1
1500052996,Thule Wingbar Evo Endcap L/H Side (1500052996),1671721660,BRAND,Thule,1,1
598101,Thule Fatbike Adapter For Proride (598101),1671721660,BRAND,Thule,1,1
1500052997,Thule Wingbar Evo Endcap R/H Side (1500052997),1671721660,BRAND,Thule,1,1
1500052995,Thule Wingbar Smart Scale 37-66mm (1500052995),1671721660,BRAND,Thule,1,1
1500052994,Thule Wingbar Smart Scale 22-51mm (1500052994),1671721660,BRAND,Thule,1,1
1500052991,Thule Wingbar Smart Scale 5-24mm (1500052991),1671721660,BRAND,Thule,1,1
1500052993,Thule Wingbar Smart Scale 14-43mm (1500052993),1671721660,BRAND,Thule,1,1
1500051212,Thule Torque Allen Key (1500051212),1671721660,BRAND,Thule,1,1
1500034140,"Thule Wheel Protection 533, 539 (1500034140)",1671721660,BRAND,Thule,1,1
1500034358,Thule Wheel Strap for 591/561 (1500034358),1671721660,BRAND,Thule,1,1
1500034368,Thule Wheel Tray Holder 591 L/R (1500034368),1671721660,BRAND,Thule,1,1
1500050007,Thule Screw Endcap for 775 (1500050007),1671721660,BRAND,Thule,1,1
1500050044,Thule Lens Cover L/R 9402/3 (1500050044),1671721660,BRAND,Thule,1,1
1500050208,Thule Barrel Nut 23x10mm Single (1500050208),1671721660,BRAND,Thule,1,1
TH560,Thule Wheel Cover (TH560),1671721660,BRAND,Thule,1,1
TH379000,Thule Tool Key (TH379000),1671721660,BRAND,Thule,1,1
TH9771,Thule Wall Hanger (TH9771),1671721660,BRAND,Thule,1,1
TH9772,Thule Bike Adaptor (TH9772),1671721660,BRAND,Thule,1,1
1500050903,Thule Cradle Strap x2 For 9708 (1500050903),1671721660,BRAND,Thule,1,1
1500050793,THULE Cradle for 9708 972 EXPRE (1500050793),1671721660,BRAND,Thule,1,1
1500052103,Thule Wingbar Endcap L/H Side (1500052103),1671721660,BRAND,Thule,1,1
1500052104,Thule Wingbar Endcap R/H Side (1500052104),1671721660,BRAND,Thule,1,1
889500,Thule Proride Adapter (889500),1671721660,BRAND,Thule,1,1
889301,Thule T-Track Set 30x24mm (889301),1671721660,BRAND,Thule,1,1
1500052669,Thule End Cap for 598001 (1500052669),1671721660,BRAND,Thule,1,1
1500052670,Thule Rim Protector (1500052670),1671721660,BRAND,Thule,1,1
1500052678,THULE Assembly Bag (1500052678),1671721660,BRAND,Thule,1,1
1500052968,THULE End Caps x4 SQ Bars (1500052968),1671721660,BRAND,Thule,1,1
TH521,THULE Straps 275cm (TH521),1671721660,BRAND,Thule,1,1
TH524,THULE Straps 275cm x2 (TH524),1671721660,BRAND,Thule,1,1
TH523,THULE Straps 400cm x2 (TH523),1671721660,BRAND,Thule,1,1
1500034139,THULE Wheel Holder L/R 9502/03 (1500034139),1671721660,BRAND,Thule,1,1
1500050718,THULE Wheel Holder Strap 532 (1500050718),1671721660,BRAND,Thule,1,1
1500051160,THULE RH/LH Lens Cover 9502/950 (1500051160),1671721660,BRAND,Thule,1,1
1500051161,Thule Lamp Unit 9502/9503 (1500051161),1671721660,BRAND,Thule,1,1
1500051162,Thule Cable Kit 9502/9503 (1500051162),1671721660,BRAND,Thule,1,1
1500051224,Thule Wheel Holder 940/943 (1500051224),1671721660,BRAND,Thule,1,1
1500051351,Thule Endcap For 532 (1500051351),1671721660,BRAND,Thule,1,1
1500052250,THULE STRAP FOR G6 928/929 (1500052250),1671721660,BRAND,Thule,1,1
1500052296,THULE LH/RH Lens Cover (1500052296),1671721660,BRAND,Thule,1,1
1500052598,THULE Number Plate Clips x4 (1500052598),1671721660,BRAND,Thule,1,1
1500052625,THULE Velocompact MID Bike Arm (1500052625),1671721660,BRAND,Thule,1,1
1500052862,THULE Square Bar Repair Kit (1500052862),1671721660,BRAND,Thule,1,1
1500052958,Thule Wheel Holder Front For 598 (1500052958),1671721660,BRAND,Thule,1,1
1500052959,Thule Wheel Holder Rear For 5980 (1500052959),1671721660,BRAND,Thule,1,1
1500052989,Thule Quick Access Interface/Pair (1500052989),1671721660,BRAND,Thule,1,1
532SQBT3,Thule T-Bolts Pack of 3 x 60mm for 532 (532SQBT3),1671721660,BRAND,Thule,1,1
532TT3,THULE 3X T-TRACKS FOR 532 FREERIDE 20 (532TT3),1671721660,BRAND,Thule,1,1
